market_instance,dyn_net_return,stat_net_return,return_improvement,dyn_total_revenue,stat_total_revenue,revenue_improvement,dyn_avg_fee,stat_avg_fee,dyn_fee_volatility,dyn_avg_volume,stat_avg_volume,volume_ratio_dyn,volume_ratio_stat
0,0.08760292715347116,0.08909289286976448,-0.0014899657162933122,1971.4434318723465,4952.746830640376,-2981.3033987680296,0.00019304381504198887,0.0005,0.00011915419238855038,21.822451311642,20.133805993590926,1.117653028794527e-05,1.0328630231991245e-05
1,-0.588344130042737,-0.5877167240711595,-0.0006274059715775104,1930.2559471196132,3184.9941392369387,-1254.7381921173255,0.0003072001404717556,0.0005,0.00020791212505740148,31.799923969380664,30.12462127983125,2.6909448020014696e-05,2.553872828377009e-05
2,0.06484110920584342,0.06624834911139985,-0.001407239905556426,2437.571543207293,5252.212137388383,-2814.64059418109,0.00022768843183351844,0.0005,0.00014412228005899306,23.758844040327155,22.236740362418598,1.2470122667283897e-05,1.1694921203190005e-05
3,0.2892609142778532,0.29091639216705295,-0.0016554778891997302,2080.9690946618502,5391.601423260625,-3310.6323285987746,0.00018189747671966384,0.0005,0.00011085588050907977,19.283953608609234,17.680982615226764,8.889044665817075e-06,8.153292540016704e-06
4,-0.14378747670201586,-0.14248864785579768,-0.0012988288462181807,1819.3423528155172,4416.850894489592,-2597.508541674075,0.0001954926445581387,0.0005,0.00011538114857989437,27.0409472646432,24.977193838904796,1.6384975481519187e-05,1.5127406129171982e-05
5,-0.5544471682158528,-0.5534332201008557,-0.0010139481149971097,1844.623068815215,3872.5336312798927,-2027.9105624646777,0.00023742488350691248,0.0005,0.00013512354026729795,33.40968148557488,31.33108003920131,2.5966764186628485e-05,2.4372103598973387e-05
6,0.1208864167836255,0.12227070586176124,-0.0013842890781357448,2172.497554380247,4942.211891134216,-2769.714336753969,0.00021036865453076152,0.0005,0.00014310831906426622,22.67316419926718,21.0121207013286,1.1914613233794636e-05,1.1052293174861609e-05
7,-0.38517056741061817,-0.38399578976369764,-0.0011747776469205329,2115.462449868438,4464.911023911168,-2349.44857404273,0.00024758279635201844,0.0005,0.00018013613646446593,27.21714402723954,25.62865733131315,1.735598413224969e-05,1.644355753288623e-05
8,0.0010165434301930944,0.0024228463608584132,-0.0014063029306653188,2189.387130309754,5001.684591937583,-2812.297461627829,0.0002107613932590223,0.0005,0.00013297924508845295,23.375927855928584,21.679425339542032,1.2347301887917768e-05,1.1459172395293941e-05
9,0.7113503105261734,0.7137994365362013,-0.002449126010027891,3079.3650088675045,7977.220571006462,-4897.855562138957,0.00018107049146773275,0.0005,0.0001153596931788693,14.598677866441697,13.440598403591789,4.86460641889335e-06,4.479786193310679e-06
10,-0.2103582368338306,-0.20892629688986833,-0.0014319399439622627,2136.4240817564805,5000.585786020876,-2864.1617042643957,0.00020993583888917727,0.0005,0.00013036974403048203,22.695749565616964,20.996317683107147,1.1912091900538173e-05,1.1029651040983816e-05
11,0.24909692590604327,0.2512022745369533,-0.0021053486309100533,2270.2316492624923,6481.181103432326,-4210.949454169834,0.00017085548267247277,0.0005,0.0001003602914659945,18.71351954426059,17.211266120145186,7.867320161112495e-06,7.248726134987978e-06
12,0.10509910709988513,0.10692142640534835,-0.001822319305463227,2367.48343892308,6012.010318766343,-3644.5268798432626,0.00019006959434102812,0.0005,9.797480335209422e-05,19.165557853976743,17.667257550858235,8.441442748743171e-06,7.785757772289594e-06
